agent_id,agent_name,team,speed_factor,hire_date
1001,Agent 1001,Alpha,1.1208846169945872,2023-07-06
1002,Agent 1002,Alpha,1.1505092719689838,2022-09-07
1003,Agent 1003,Alpha,1.0940788101707772,2021-10-10
1004,Agent 1004,Alpha,1.1914678230728646,2021-05-12
1005,Agent 1005,Alpha,1.1163988956966235,2023-10-02
1006,Agent 1006,Alpha,0.894839771436441,2024-01-06
1007,Agent 1007,Alpha,1.0076350782634484,2022-12-02
1008,Agent 1008,Alpha,1.1743677460970106,2022-06-04
1009,Agent 1009,Alpha,1.0753527920282326,2022-07-18
1010,Agent 1010,Alpha,1.005194969589566,2024-02-26
1011,Agent 1011,Bravo,0.9295335526246719,2021-05-09
1012,Agent 1012,Bravo,0.8723360396364613,2023-02-16
1013,Agent 1013,Bravo,1.1396709101974036,2022-01-23
1014,Agent 1014,Bravo,1.1153307090298807,2023-06-04
1015,Agent 1015,Bravo,0.9740840888454539,2021-04-06
1016,Agent 1016,Bravo,1.162592392462769,2024-09-20
1017,Agent 1017,Bravo,1.1224342239758167,2023-11-30
1018,Agent 1018,Bravo,1.013352351304462,2021-09-30
1019,Agent 1019,Bravo,0.8653313180255301,2023-02-05
1020,Agent 1020,Bravo,1.0890671336348592,2021-08-05
1021,Agent 1021,Charlie,1.110666754567736,2022-05-29
1022,Agent 1022,Charlie,0.9640388753483532,2024-09-16
1023,Agent 1023,Charlie,0.979660897112204,2021-04-17
1024,Agent 1024,Charlie,0.9163149756794999,2022-10-20
1025,Agent 1025,Charlie,0.8954725268674151,2023-08-20
1026,Agent 1026,Charlie,0.9294182721678094,2022-10-28
1027,Agent 1027,Charlie,1.0844348981388785,2024-08-09
1028,Agent 1028,Charlie,1.141437368620243,2022-09-05
1029,Agent 1029,Charlie,1.0950927857007873,2021-05-17
1030,Agent 1030,Charlie,1.1412909304883203,2022-03-14
1031,Agent 1031,Delta,1.1316675251238806,2024-03-24
1032,Agent 1032,Delta,0.9509148363755854,2022-06-27
1033,Agent 1033,Delta,1.0888734263912414,2023-06-11
1034,Agent 1034,Delta,0.9199678708662878,2021-07-15
1035,Agent 1035,Delta,0.852576794412852,2024-01-21
1036,Agent 1036,Delta,1.0826977998072111,2024-01-07
1037,Agent 1037,Delta,1.0968078825192173,2022-01-23
1038,Agent 1038,Delta,1.010620521438419,2023-12-30
1039,Agent 1039,Delta,1.0490594185835127,2021-02-22
1040,Agent 1040,Delta,0.8900855257375907,2021-07-15
