agent_id,date_key,scheduled_minutes,actual_minutes
1013,20260125,480,434
1014,20260125,480,349
1005,20260125,480,432
1008,20260125,480,404
1017,20260125,480,438
1022,20260125,480,420
1034,20260125,480,426
1015,20260125,480,377
1009,20260125,480,483
1030,20260125,480,429
1040,20260125,480,444
1032,20260125,480,484
1016,20260125,480,504
1028,20260125,480,439
1027,20260125,480,447
1002,20260125,480,439
1030,20260126,480,423
1016,20260126,480,451
1018,20260126,480,432
1019,20260126,480,425
1015,20260126,480,400
1027,20260126,480,462
1021,20260126,480,497
1028,20260126,480,454
1014,20260126,480,446
1002,20260126,480,428
1012,20260126,480,468
1001,20260126,480,419
1013,20260126,480,456
1031,20260126,480,447
1040,20260126,480,379
1038,20260126,480,424
1033,20260126,480,470
1037,20260126,480,476
1007,20260126,480,504
1025,20260126,480,424
1023,20260126,480,420
1020,20260126,480,461
1035,20260126,480,441
1009,20260126,480,424
1005,20260126,480,459
1036,20260126,480,466
1008,20260126,480,492
1006,20260126,480,424
1022,20260126,480,412
1032,20260126,480,485
1029,20260126,480,412
1010,20260126,480,482
1026,20260126,480,414
1024,20260126,480,407
1025,20260127,480,462
1029,20260127,480,438
1018,20260127,480,436
1016,20260127,480,440
1009,20260127,480,400
1034,20260127,480,415
1026,20260127,480,439
1010,20260127,480,426
1004,20260127,480,401
1036,20260127,480,446
1024,20260127,480,471
1032,20260127,480,470
1005,20260127,480,393
1006,20260127,480,443
1017,20260127,480,412
1031,20260127,480,398
1039,20260127,480,411
1040,20260127,480,389
1033,20260127,480,379
1020,20260127,480,441
1037,20260127,480,447
1027,20260127,480,466
1022,20260127,480,466
1011,20260127,480,465
1002,20260127,480,425
1008,20260127,480,404
1012,20260127,480,456
1030,20260127,480,439
1021,20260127,480,382
1014,20260127,480,434
1013,20260127,480,419
1007,20260127,480,438
1001,20260127,480,424
1003,20260127,480,458
1022,20260128,480,427
1016,20260128,480,464
1019,20260128,480,486
1021,20260128,480,419
1025,20260128,480,420
1036,20260128,480,452
1001,20260128,480,414
1031,20260128,480,400
